,id,id_memoire,id_ech,Wilaya,Region,X,Y,Longitude,latitude,altitude,UD,LD,average profondeur,USDA Soil Taxonomy,pH,CE,CEC,A%,L%,S%,ALR(L),ALR(S),OM,AREA,PERIMETER,GEO2_7G_,GEO2_7G_ID,GLG,SNUM,FAOSOIL,DOMSOI,PHASE1,SQKM,SRTMGL1_band1,landcover,Band3,Band4,Band5,Band7,NDVI,wc2_1_30s_wind_12_Band_1,wc2_1_30s_wind_11_Band_1,wc2_1_30s_wind_10_Band_1,wc2_1_30s_wind_09_Band_1,wc2_1_30s_wind_08_Band_1,wc2_1_30s_wind_07_Band_1,wc2_1_30s_wind_06_Band_1,wc2_1_30s_wind_05_Band_1,wc2_1_30s_wind_04_Band_1,wc2_1_30s_wind_03_Band_1,wc2_1_30s_wind_02_Band_1,wc2_1_30s_wind_01_Band_1,wc2_1_30s_vapr_12_Band_1,wc2_1_30s_vapr_11_Band_1,wc2_1_30s_vapr_10_Band_1,wc2_1_30s_vapr_09_Band_1,wc2_1_30s_vapr_08_Band_1,wc2_1_30s_vapr_07_Band_1,wc2_1_30s_vapr_06_Band_1,wc2_1_30s_vapr_05_Band_1,wc2_1_30s_vapr_04_Band_1,wc2_1_30s_vapr_03_Band_1,wc2_1_30s_vapr_02_Band_1,wc2_1_30s_vapr_01_Band_1,wc2_1_30s_tmin_12_Band_1,wc2_1_30s_tmin_11_Band_1,wc2_1_30s_tmin_10_Band_1,wc2_1_30s_tmin_09_Band_1,wc2_1_30s_tmin_08_Band_1,wc2_1_30s_tmin_07_Band_1,wc2_1_30s_tmin_06_Band_1,wc2_1_30s_tmin_05_Band_1,wc2_1_30s_tmin_04_Band_1,wc2_1_30s_tmin_03_Band_1,wc2_1_30s_tmin_02_Band_1,wc2_1_30s_tmin_01_Band_1,wc2_1_30s_tmax_12_Band_1,wc2_1_30s_tmax_11_Band_1,wc2_1_30s_tmax_10_Band_1,wc2_1_30s_tmax_09_Band_1,wc2_1_30s_tmax_08_Band_1,wc2_1_30s_tmax_07_Band_1,wc2_1_30s_tmax_06_Band_1,wc2_1_30s_tmax_05_Band_1,wc2_1_30s_tmax_04_Band_1,wc2_1_30s_tmax_03_Band_1,wc2_1_30s_tmax_02_Band_1,wc2_1_30s_tmax_01_Band_1,wc2_1_30s_prec_12_Band_1,wc2_1_30s_prec_11_Band_1,wc2_1_30s_prec_10_Band_1,wc2_1_30s_prec_09_Band_1,wc2_1_30s_prec_08_Band_1,wc2_1_30s_prec_07_Band_1,wc2_1_30s_prec_06_Band_1,wc2_1_30s_prec_05_Band_1,wc2_1_30s_prec_04_Band_1,wc2_1_30s_prec_03_Band_1,wc2_1_30s_prec_02_Band_1,wc2_1_30s_prec_01_Band_1,wc2_1_30s_srad_12_Band_1,wc2_1_30s_srad_11_Band_1,wc2_1_30s_srad_10_Band_1,wc2_1_30s_srad_09_Band_1,wc2_1_30s_srad_08_Band_1,wc2_1_30s_srad_07_Band_1,wc2_1_30s_srad_06_Band_1,wc2_1_30s_srad_05_Band_1,wc2_1_30s_srad_04_Band_1,wc2_1_30s_srad_03_Band_1,wc2_1_30s_srad_02_Band_1,wc2_1_30s_srad_01_Band_1,wc2_1_30s_tavg_12_Band_1,wc2_1_30s_tavg_11_Band_1,wc2_1_30s_tavg_10_Band_1,wc2_1_30s_tavg_09_Band_1,wc2_1_30s_tavg_08_Band_1,wc2_1_30s_tavg_07_Band_1,wc2_1_30s_tavg_06_Band_1,wc2_1_30s_tavg_05_Band_1,wc2_1_30s_tavg_04_Band_1,wc2_1_30s_tavg_03_Band_1,wc2_1_30s_tavg_02_Band_1,wc2_1_30s_tavg_01_Band_1
0,1,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,15,30,22.5,,7.87,0.17,17.929,45.359,44.81,8.07,-0.005288623,-0.749790032,2.019,0.06871,1.90991,162.0,86.0,Qe,1078.0,Bc6-2ab,Bc,,5251.0,16.0,7.0,9188.0,8712.0,10405.0,8554.0,0.08855992,3.299999952,3.0,2.799999952,2.900000095,3.099999905,3.299999952,3.5,3.200000048,3.599999905,3.400000095,3.200000048,3.299999952,1.100000024,1.289999962,1.629999995,1.980000019,2.170000076,2.079999924,1.809999943,1.549999952,124.000001,1.120000005,1.059999943,1.019999981,7.599999905,1.019999981,1.430000019,1.810000038,2.020000076,1.920000076,1.639999962,1.280000019,9.5,7.699999809,6.699999809,6.400000095,1.779999924,2.079999924,2.529999924,29.5,32.0,3.089999962,2.779999924,2.420000076,2.110000038,1.910000038,17.5,1.679999924,95.0,88.0,65.0,36.0,4.0,3.0,16.0,45.0,60.0,71.0,81.0,85.0,7747.0,9529.0,13204.0,18571.0,23314.0,25758.0,24715.0,23601.0,19387.0,15431.0,11514.0,8402.0,1.269999981,15.5,1.979999924,2.379999924,2.610000038,25.0,2.210000038,18.5,1.530000019,1.339999962,1.210000038,1.160000038
1,2,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,30,60,45.0,,7.774,0.17,17.207,48.412,44.718,26.816,-0.034470743,-0.256559117,1.503,0.06871,1.90991,162.0,86.0,Qe,1078.0,Bc6-2ab,Bc,,5251.0,16.0,7.0,9188.0,8712.0,10405.0,8554.0,0.08855992,3.299999952,3.0,2.799999952,2.900000095,3.099999905,3.299999952,3.5,3.200000048,3.599999905,3.400000095,3.200000048,3.299999952,1.100000024,1.289999962,1.629999995,1.980000019,2.170000076,2.079999924,1.809999943,1.549999952,124.000001,1.120000005,1.059999943,1.019999981,7.599999905,1.019999981,1.430000019,1.810000038,2.020000076,1.920000076,1.639999962,1.280000019,9.5,7.699999809,6.699999809,6.400000095,1.779999924,2.079999924,2.529999924,29.5,32.0,3.089999962,2.779999924,2.420000076,2.110000038,1.910000038,17.5,1.679999924,95.0,88.0,65.0,36.0,4.0,3.0,16.0,45.0,60.0,71.0,81.0,85.0,7747.0,9529.0,13204.0,18571.0,23314.0,25758.0,24715.0,23601.0,19387.0,15431.0,11514.0,8402.0,1.269999981,15.5,1.979999924,2.379999924,2.610000038,25.0,2.210000038,18.5,1.530000019,1.339999962,1.210000038,1.160000038
2,3,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,60,100,80.0,,7.799,0.17,15.049,51.83,44.212,8.436,-0.069041131,-0.788444722,0.706,0.06871,1.90991,162.0,86.0,Qe,1078.0,Bc6-2ab,Bc,,5251.0,16.0,7.0,9188.0,8712.0,10405.0,8554.0,0.08855992,3.299999952,3.0,2.799999952,2.900000095,3.099999905,3.299999952,3.5,3.200000048,3.599999905,3.400000095,3.200000048,3.299999952,1.100000024,1.289999962,1.629999995,1.980000019,2.170000076,2.079999924,1.809999943,1.549999952,124.000001,1.120000005,1.059999943,1.019999981,7.599999905,1.019999981,1.430000019,1.810000038,2.020000076,1.920000076,1.639999962,1.280000019,9.5,7.699999809,6.699999809,6.400000095,1.779999924,2.079999924,2.529999924,29.5,32.0,3.089999962,2.779999924,2.420000076,2.110000038,1.910000038,17.5,1.679999924,95.0,88.0,65.0,36.0,4.0,3.0,16.0,45.0,60.0,71.0,81.0,85.0,7747.0,9529.0,13204.0,18571.0,23314.0,25758.0,24715.0,23601.0,19387.0,15431.0,11514.0,8402.0,1.269999981,15.5,1.979999924,2.379999924,2.610000038,25.0,2.210000038,18.5,1.530000019,1.339999962,1.210000038,1.160000038
3,4,2,2,Alger,El-Harrach,313 333,360 716 666,3.1333333333333333,36.71666666666667,24.0,15,30,22.5,CL,7.95,0.26,,31.849,39.858,26.804,0.097419566,-0.074896328,2.645,0.13065,3.15305,385.0,318.0,K,1238.0,I-Bk-bc,I,,4971.0,897.0,11.0,10888.0,12220.0,15836.0,16719.0,0.128885087,3.0,3.0,2.599999905,2.599999905,2.700000048,2.900000095,3.200000048,3.099999905,3.700000048,3.200000048,3.0,2.799999952,0.790000022,0.910000026,1.120000005,1.309999943,1.350000024,1.279999971,1.200000048,1.039999962,0.870000005,0.779999971,0.730000019,0.720000029,3.0,6.199999809,1.089999962,1.519999981,1.829999924,1.810000038,1.419999981,10.5,7.199999809,4.699999809,2.700000048,1.799999952,1.010000038,1.410000038,2.039999962,2.620000076,3.060000038,3.079999924,2.620000076,2.120000076,17.0,14.0,11.0,9.399999619,74.0,66.0,37.0,26.0,6.0,3.0,22.0,43.0,39.0,53.0,56.0,81.0,8151.0,9939.0,13803.0,19266.0,23574.0,26101.0,25207.0,23902.0,19893.0,16232.0,12330.0,8893.0,6.599999905,1.019999981,1.560000038,2.070000076,24.5,2.439999962,2.020000076,1.589999962,1.210000038,9.399999619,6.900000095,5.599999905
4,5,2,2,Alger,El-Harrach,313 333,360 716 666,3.1333333333333333,36.71666666666667,24.0,30,60,45.0,CL,8.096,0.279,,32.238,37.326,25.538,0.063643226,-0.101181343,1.097,0.13065,3.15305,385.0,318.0,K,1238.0,I-Bk-bc,I,,4971.0,897.0,11.0,10888.0,12220.0,15836.0,16719.0,0.128885087,3.0,3.0,2.599999905,2.599999905,2.700000048,2.900000095,3.200000048,3.099999905,3.700000048,3.200000048,3.0,2.799999952,0.790000022,0.910000026,1.120000005,1.309999943,1.350000024,1.279999971,1.200000048,1.039999962,0.870000005,0.779999971,0.730000019,0.720000029,3.0,6.199999809,1.089999962,1.519999981,1.829999924,1.810000038,1.419999981,10.5,7.199999809,4.699999809,2.700000048,1.799999952,1.010000038,1.410000038,2.039999962,2.620000076,3.060000038,3.079999924,2.620000076,2.120000076,17.0,14.0,11.0,9.399999619,74.0,66.0,37.0,26.0,6.0,3.0,22.0,43.0,39.0,53.0,56.0,81.0,8151.0,9939.0,13803.0,19266.0,23574.0,26101.0,25207.0,23902.0,19893.0,16232.0,12330.0,8893.0,6.599999905,1.019999981,1.560000038,2.070000076,24.5,2.439999962,2.020000076,1.589999962,1.210000038,9.399999619,6.900000095,5.599999905
5,6,3,3,Alger,El-Harrach,"3,15",3 672 416 667,3.15,36.72416666666667,42.0,15,30,22.5,,8.5,,,13.0,32.0,55.0,0.391206292,0.626419003,7.27,0.06871,1.90991,162.0,86.0,Qe,1345.0,Jc16-2/3a,Jc,,1406.0,33.0,7.0,32197.0,34438.0,39343.0,30777.0,0.06648053,3.5,3.299999952,3.099999905,2.900000095,3.200000048,3.400000095,3.599999905,3.299999952,3.700000048,3.5,3.400000095,3.599999905,1.100000024,1.289999962,1.629999995,199.000001,2.180000067,2.079999924,1.799999952,1.549999952,124.000001,1.120000005,1.049999952,1.029999971,7.699999809,1.019999981,1.430000019,1.810000038,2.020000076,1.910000038,1.639999962,1.280000019,9.5,7.699999809,6.800000191,6.5,1.770000076,2.060000038,25.0,2.910000038,31.5,3.039999962,2.739999962,2.389999962,2.089999962,1.889999962,1.729999924,1.679999924,96.0,88.0,66.0,36.0,5.0,3.0,16.0,45.0,61.0,72.0,83.0,85.0,7640.0,9498.0,13211.0,18634.0,23499.0,25830.0,24589.0,23590.0,19338.0,15404.0,11422.0,8315.0,1.269999981,1.539999962,1.970000076,2.360000038,2.589999962,2.479999924,2.189999962,1.829999924,1.519999981,1.330000019,1.210000038,1.160000038
6,7,3,3,Alger,El-Harrach,"3,15",3 672 416 667,3.15,36.72416666666667,42.0,30,60,45.0,,8.5,,,13.0,32.0,55.0,0.391206292,0.626419003,7.27,0.06871,1.90991,162.0,86.0,Qe,1345.0,Jc16-2/3a,Jc,,1406.0,33.0,7.0,32197.0,34438.0,39343.0,30777.0,0.06648053,3.5,3.299999952,3.099999905,2.900000095,3.200000048,3.400000095,3.599999905,3.299999952,3.700000048,3.5,3.400000095,3.599999905,1.100000024,1.289999962,1.629999995,199.000001,2.180000067,2.079999924,1.799999952,1.549999952,124.000001,1.120000005,1.049999952,1.029999971,7.699999809,1.019999981,1.430000019,1.810000038,2.020000076,1.910000038,1.639999962,1.280000019,9.5,7.699999809,6.800000191,6.5,1.770000076,2.060000038,25.0,2.910000038,31.5,3.039999962,2.739999962,2.389999962,2.089999962,1.889999962,1.729999924,1.679999924,96.0,88.0,66.0,36.0,5.0,3.0,16.0,45.0,61.0,72.0,83.0,85.0,7640.0,9498.0,13211.0,18634.0,23499.0,25830.0,24589.0,23590.0,19338.0,15404.0,11422.0,8315.0,1.269999981,1.539999962,1.970000076,2.360000038,2.589999962,2.479999924,2.189999962,1.829999924,1.519999981,1.330000019,1.210000038,1.160000038
7,8,4,4,Alger,Staoueli,2 880 277 778,367 575,2.8802777777777777,36.7575,44.0,5,15,10.0,,8.59,0.37,,7.21,11.57,81.22,0.205397492,1.05172711808482,4.1,0.00747,0.41303,143.0,70.0,pCm,1078.0,Bc6-2ab,Bc,,5251.0,30.0,7.0,11986.0,11560.0,18644.0,10235.0,0.234538472,3.599999905,3.400000095,3.200000048,3.200000048,3.400000095,3.599999905,3.799999952,3.400000095,4.199999809,3.799999952,3.700000048,3.599999905,1.100000024,1.279999971,1.629999995,199.000001,2.180000067,2.059999943,1.820000052,1.539999962,124.000001,1.120000005,1.059999943,1.039999962,8.0,10.5,1.460000038,1.810000038,2.020000076,1.929999924,1.660000038,1.310000038,9.699999809,8.0,7.0,6.800000191,1.760000038,2.039999962,24.5,28.5,3.120000076,3.029999924,2.710000038,2.360000038,2.039999962,18.5,1.710000038,1.660000038,104.0,104.0,67.0,35.0,3.0,2.0,13.0,47.0,51.0,66.0,75.0,93.0,7649.0,9579.0,13294.0,18741.0,23781.0,26078.0,25091.0,23683.0,19489.0,15509.0,11554.0,8354.0,1.280000019,15.5,19.5,2.329999924,2.570000076,2.479999924,2.189999962,1.829999924,1.510000038,1.330000019,12.0,1.169999981
8,9,4,4,Alger,Staoueli,2 880 277 778,367 575,2.8802777777777777,36.7575,44.0,15,30,22.5,,8.59,0.37,,7.21,11.57,81.22,0.205397492,1.05172711808482,4.1,0.00747,0.41303,143.0,70.0,pCm,1078.0,Bc6-2ab,Bc,,5251.0,30.0,7.0,11986.0,11560.0,18644.0,10235.0,0.234538472,3.599999905,3.400000095,3.200000048,3.200000048,3.400000095,3.599999905,3.799999952,3.400000095,4.199999809,3.799999952,3.700000048,3.599999905,1.100000024,1.279999971,1.629999995,199.000001,2.180000067,2.059999943,1.820000052,1.539999962,124.000001,1.120000005,1.059999943,1.039999962,8.0,10.5,1.460000038,1.810000038,2.020000076,1.929999924,1.660000038,1.310000038,9.699999809,8.0,7.0,6.800000191,1.760000038,2.039999962,24.5,28.5,3.120000076,3.029999924,2.710000038,2.360000038,2.039999962,18.5,1.710000038,1.660000038,104.0,104.0,67.0,35.0,3.0,2.0,13.0,47.0,51.0,66.0,75.0,93.0,7649.0,9579.0,13294.0,18741.0,23781.0,26078.0,25091.0,23683.0,19489.0,15509.0,11554.0,8354.0,1.280000019,15.5,19.5,2.329999924,2.570000076,2.479999924,2.189999962,1.829999924,1.510000038,1.330000019,12.0,1.169999981
9,10,8,5,Alger,Oued Smar,3 178 361 111,3 670 408 333,3.1783611111111107,36.70408333333334,12.0,15,30,22.5,,7.83,,3.75,,,,,,1.36,0.06871,1.90991,162.0,86.0,Qe,1345.0,Jc16-2/3a,Jc,,1406.0,16.0,7.0,16993.0,17767.0,23432.0,18425.0,0.137503338,3.400000095,3.099999905,2.700000048,3.0,3.400000095,3.5,3.599999905,3.299999952,3.299999952,3.099999905,3.400000095,3.400000095,1.110000014,1.299999952,1.639999986,199.000001,2.160000086,2.059999943,1.809999943,1.549999952,1.269999981,1.129999995,1.059999943,1.039999962,7.400000095,10.0,1.419999981,18.0,2.010000038,19.0,1.629999924,1.260000038,9.300000191,7.599999905,6.5,6.199999809,1.770000076,2.070000076,2.520000076,2.929999924,3.179999924,3.070000076,27.5,24.0,2.089999962,1.889999962,1.739999962,1.679999924,93.0,84.0,64.0,35.0,6.0,4.0,16.0,44.0,61.0,70.0,80.0,81.0,7597.0,9510.0,13118.0,18551.0,23100.0,25439.0,24513.0,23546.0,19251.0,15280.0,11371.0,8341.0,1.260000038,1.539999962,1.970000076,2.360000038,2.589999962,2.479999924,2.189999962,1.829999924,1.510000038,1.319999981,12.0,11.5
