,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
0,Jijel,,,,,,,,,
1,Jijel,36.7833,5.7667,7.8,14.15,2.53,24.58,0.25,1.45,0-20 cm
5,Jijel,,,,,,,,,
6,Jijel,36.7833,5.7333,7.8,24,12.6,21,1.7,1.3,20-30 cm
7,Jijel,36.7833,5.75,7.6,9.2,70.2,15.4,340,1.25,0-20cm
9,Tizi-Ouzou,36.7167,4.05,8.21,25,2.5,15,0.25,1.6,0-20 cm
10,Annaba,,,,,,,,,
11,Biskra,34.85,5.73,8.1,24.51,1.42,24.51,0.41,1.42,0-20 cm
13,M'sila,35.716667,4.533333,8.4,14.5,1.12,12.5,0.55,1.35,0-30 cm
15,Tiaret,35.3667,2.4333,7.8,27.6,2.1,24.5,0.45,1.6,0-20 cm
16,Baraki,,,,,,,,,30 cm
17,,36.716667,4.05,7.45,350,6.5,15,0.5,1.3,20 cm
18,Medea,36.2667,2.75,7.45,23.15,1.12,14.5,0.45,1.35,20 cm
19,Bejaea,36.75,5.06,6.3,21.5,1.67,14.01,95,1.55,0-20 cm
20,Wilaya de Setif,36.1833,5.4,7.42,22.5,1.14,23.1,0.45,1.65,0-20 cm
21,Tiaret,35.3772,1.3219,,,,,,,1 m
23,Pas de Calais,50.95,1.85,,,,,,,60-80 cm and 40-60 cm
24,Annaba,36.9028,7.7431,3,,,,,,
25,Tipaza,36.5931,2.4447,7.8,14.56,2.31,16.3,0.43,1.35,0-20
26,Tebessa,35.4333,8.1167,4,12,,,,,
27,Tlemcen,34.88,1.31,7.42,28.15,2.15,14.25,0.46,2.65,0-20 cm
28,Tiaret,35.3707,1.3205,7.32,13.8,2.14,24.5,0.47,1.42,0-30 cm
29,Medea,36.2667,2.75,7.0,,,,,,
30,Mostaganem,35.92,0.08,8.2,15.6,1.4,12.5,250,1.6,0-20 cm
33,,36.5392,4.0433,7.4,15.5,3.2,10.2,0.45,1.55,0-20 cm
34,,36.7167,4.05,7.42,13.5,2.35,18.2,0.47,1.45,20-40 cm
35,,36.7167,4.05,7.82,35.6,10.2,15.4,0.16,1.42,0-20
36,Tiaret,35.3833,1.8833,7.5,20.5,2.3,25.7,0.35,1.4,0-20 cm
37,Wilaya of Tizi Ouzou,36.7204,4.0456,7.2,150,2.5,12.5,0.5,1.3,20 cm
38,Tiaret,35.3833,1.1167,7.5,,,4.5,,,
39,Batna,35.5448,6.1699,7.8,14.6,2.4,24.5,1.2,1.7,20-40 cm
40,Tiaret,35.3833,1.8,3,13,,1.06,,,
43,Bouira,36.3833,3.9333,7.8,12.6,2.5,18.2,0.24,1.45,0-20 cm
46,,35.2833,1.1333,5,,2.98,,,,
48,Alger,,,,,,,,,0 e 30 cm
49,Mostaganem,35.9339,0.0833,8.92,3.6,1.36,3.75,,2.7,
51,Tlemcen,34.88,1.32,7.22,71.26,1.37,15.34,100,1.63,0-20
53,Tiaret,35.3667,1.4667,8.23,13.15,1.25,21.14,0.45,1.35,0-20 cm
55,Tiaret,35.3789,1.7974,7.4,1.4,15.9,21.7,0.24,1.34,0-30 cm
56,Biskra,34.85,5.73,8.1,23.8,1.4,14.5,1.2,1.3,0-30
57,Guelma,36.45,7.45,7.8,23.1,2.14,12.6,0.45,1.38,0-20
58,Tlemcen,34.8833,1.3167,,,,,,,
60,,36.72,4.05,7.3,23.5,5.6,18.3,0.35,1.42,0-20 cm
62,Constantine,36.3578,6.6142,7.8,23.1,2.3,20.8,0.48,1.4,0-20 cm
63,Bejaea,36.75,5.05,7.6,14.3,2.5,24.9,0.35,1.29,0-20 cm
64,,36.7167,4.05,5.7,,,,,,
67,Alger,,,,,,,,,entre 1-10 cm
69,Alger,36.72102,3.05905,7.68,170,2.2,13.5,1.35,1.45,0-20 cm
70,Blida,36.4833,2.8,7.8,35,1.8,20,0.45,1.3,0-20 cm
73,Batna,35.55,6.16,8.6,12.5,2.77,23.2,1.98,0.85,0-20 cm
74,Tiaret,35.3833,1.1333,7.5,20.4,1.5,15.2,0.35,1.6,0-20 cm
77,Biskra,34.85,5.73,8.3,23.5,1.45,24.8,0.43,1.35,0-20 cm
79,Biskra,34.85,5.73,,,,,,,
81,,36.7167,4.05,7.33,290.55,174.25,14.52,5.25,1002.95,0-30 cm
82,Ain Temouchent,35.47,-1.13,5.25,20.8,19.3,62.4,63.1,22.95,20
83,Bouira,36.3833,3.9333,7.4,14.5,1.2,23.7,0.18,1.38,0-20 cm
84,Tizi-Ouzou,36.72,4.04,7.3,23.5,10.5,24.5,0.35,1.35,20 cm
85,,36.7167,4.5167,7.4,14.3,1.4,24.2,0.5,1.4,0-30 cm
87,Constantine,36.3611,6.6208,8.1,34.5,2.1,32.8,0.45,1.65,0-30 cm
89,Tiaret,35.3833,1.1333,7.4,180 g/kg,28 g/kg,20 cmol/kg,0.42 mS/cm,1.35 g/cm3,0-30 cm
92,Relizane,35.733333,0.55,8.43,26.8,1.34,14.5,0.234,1.64,0-30 cm
94,,36.7833,3.4167,7.5,20,3.2,15,0.2,1.5,20 cm
96,,36.7167,4.05,6.5,24,0.5,1,0.1,1.5,0-20 cm
97,,36.7167,4.05,8.1,15.2,2.8,34.7,0.45,1.38,0-20
99,Tiaret,35.3725,2.4486,7.3,180,2.45,35.4,0.52,1.45,0-20 cm
101,,36.7167,4.05,6.5,10.5,4.2,12.8,0.42,1.2,0-20 cm
102,Tiaret,35.38,1.75,7.83,14.4,1.94,14.2,0.32,1.45,0-20 cm
103,Tipaza,36.5833,2.45,7.8,13.5,2.1,15.7,0.94,1.45,0-30 cm
104,Djelfa,34.6667,3.2667,7.4,15.6,1.12,20.8,0.21,1.35,0-30 cm
105,,36.7239,4.0483,7.3,23.1,2.35,13.4,0.34,1.45,0-30 cm
106,,36.7167,4.05,7.5,14.2,2.1,18.1,0.42,1.4,0-20 cm
107,Setif,36.1833,5.4167,7.3,18,1.8,23,0.35,1.42,0-20 cm
108,Guerif,,,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned
109,Constantine,36.3611,6.6139,7.8,4.3,2.15,13.4,0.45,1.35,0-20 cm
110,Alger,,,7.5,1.1,2.5,16.945,0.825,,"{'0-30': {'Argile %': 39.5, 'Limon fin %': 17.45, 'Limon grossier %': 1.15, 'Sable fin %': 31.2, 'Sable grossier %': 10.7}, '30-80': {'Argile %': 31.8, 'Limon fin %': 9.8, 'Limon grossier %': 3.05, 'Sable fin %': 29.95, 'Sable grossier %': 25.4}}"
111,,36.72,4.05,7.5,15,2.5,25,0.4,1.5,0-10 cm
112,Constantine,36.3651,6.6128,7.8,22.6,1.45,23.4,0.26,1.35,0-10 cm
114,Ghardaia,32.3833,3.6667,10.59,10.4,0.43,,,,H5 and H6
115,,36.2672,2.1674,8.1,450,2.5,15.6,0.45,1.35,0-30 cm
116,Tipaza,36.57,2.45,7.85,14.2,1.4,14.5,0.15,1.35,"H1, H5, H6"
117,Batna,35.55,6.15,6.4,35.2,36.1,37.1,32.5,24.6,1
118,Sidi Bel Abbes,34.883333,0.5,7.7,25.6,1.41,14.6,0.45,1.45,0-10 cm
120,Alger,36.7765,3.0617,,,,,,,"H1, H5, H6, L1H5, L3H5"
121,Alger,36.745278,3.357778,7.46,14.35,3.14,13.62,0.42,1.35,0-20 cm
122,Alger,36.7687,3.3538,7.6,12.4,2.4,14.6,0.4,1.4,0-20 cm
126,Wilaya of Tizi Ouzou,36.7167,4.05,6.8,15.3,2.9,24.1,0.15,1.35,0-20 cm
127,,36.7167,4.05,7.45,14.95,2.82,,2.98,,
