,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
1,Jijel,36.7833,5.7667,7.8,14.15,2.53,24.58,0.25,1.45,"[0.0, 20.0]"
6,Jijel,36.7833,5.7333,7.8,24.0,12.6,21.0,1.7,1.3,"[20.0, 30.0]"
7,Jijel,36.7833,5.75,7.6,9.2,70.2,15.4,340.0,1.25,"[0.0, 20.0]"
9,Tizi-Ouzou,36.7167,4.05,8.21,25.0,2.5,15.0,0.25,1.6,"[0.0, 20.0]"
11,Biskra,34.85,5.73,8.1,24.51,1.42,24.51,0.41,1.42,"[0.0, 20.0]"
13,M'sila,35.716667,4.533333,8.4,14.5,1.12,12.5,0.55,1.35,"[0.0, 30.0]"
15,Tiaret,35.3667,2.4333,7.8,27.6,2.1,24.5,0.45,1.6,"[0.0, 20.0]"
18,Medea,36.2667,2.75,7.45,23.15,1.12,14.5,0.45,1.35,20.0
19,Bejaea,36.75,5.06,6.3,21.5,1.67,14.01,95.0,1.55,"[0.0, 20.0]"
20,Wilaya de Setif,36.1833,5.4,7.42,22.5,1.14,23.1,0.45,1.65,"[0.0, 20.0]"
25,Tipaza,36.5931,2.4447,7.8,14.56,2.31,16.3,0.43,1.35,"[0.0, 20.0]"
27,Tlemcen,34.88,1.31,7.42,28.15,2.15,14.25,0.46,2.65,"[0.0, 20.0]"
28,Tiaret,35.3707,1.3205,7.32,13.8,2.14,24.5,0.47,1.42,"[0.0, 30.0]"
30,Mostaganem,35.92,0.08,8.2,15.6,1.4,12.5,250.0,1.6,"[0.0, 20.0]"
36,Tiaret,35.3833,1.8833,7.5,20.5,2.3,25.7,0.35,1.4,"[0.0, 20.0]"
37,Wilaya of Tizi Ouzou,36.7204,4.0456,7.2,150.0,2.5,12.5,0.5,1.3,20.0
39,Batna,35.5448,6.1699,7.8,14.6,2.4,24.5,1.2,1.7,"[20.0, 40.0]"
43,Bouira,36.3833,3.9333,7.8,12.6,2.5,18.2,0.24,1.45,"[0.0, 20.0]"
51,Tlemcen,34.88,1.32,7.22,71.26,1.37,15.34,100.0,1.63,"[0.0, 20.0]"
53,Tiaret,35.3667,1.4667,8.23,13.15,1.25,21.14,0.45,1.35,"[0.0, 20.0]"
55,Tiaret,35.3789,1.7974,7.4,1.4,15.9,21.7,0.24,1.34,"[0.0, 30.0]"
56,Biskra,34.85,5.73,8.1,23.8,1.4,14.5,1.2,1.3,"[0.0, 30.0]"
57,Guelma,36.45,7.45,7.8,23.1,2.14,12.6,0.45,1.38,"[0.0, 20.0]"
62,Constantine,36.3578,6.6142,7.8,23.1,2.3,20.8,0.48,1.4,"[0.0, 20.0]"
63,Bejaea,36.75,5.05,7.6,14.3,2.5,24.9,0.35,1.29,"[0.0, 20.0]"
69,Alger,36.72102,3.05905,7.68,170.0,2.2,13.5,1.35,1.45,"[0.0, 20.0]"
70,Blida,36.4833,2.8,7.8,35.0,1.8,20.0,0.45,1.3,"[0.0, 20.0]"
73,Batna,35.55,6.16,8.6,12.5,2.77,23.2,1.98,0.85,"[0.0, 20.0]"
74,Tiaret,35.3833,1.1333,7.5,20.4,1.5,15.2,0.35,1.6,"[0.0, 20.0]"
77,Biskra,34.85,5.73,8.3,23.5,1.45,24.8,0.43,1.35,"[0.0, 20.0]"
82,Ain Temouchent,35.47,-1.13,5.25,20.8,19.3,62.4,63.1,22.95,20.0
83,Bouira,36.3833,3.9333,7.4,14.5,1.2,23.7,0.18,1.38,"[0.0, 20.0]"
84,Tizi-Ouzou,36.72,4.04,7.3,23.5,10.5,24.5,0.35,1.35,20.0
87,Constantine,36.3611,6.6208,8.1,34.5,2.1,32.8,0.45,1.65,"[0.0, 30.0]"
92,Relizane,35.733333,0.55,8.43,26.8,1.34,14.5,0.234,1.64,"[0.0, 30.0]"
99,Tiaret,35.3725,2.4486,7.3,180.0,2.45,35.4,0.52,1.45,"[0.0, 20.0]"
102,Tiaret,35.38,1.75,7.83,14.4,1.94,14.2,0.32,1.45,"[0.0, 20.0]"
103,Tipaza,36.5833,2.45,7.8,13.5,2.1,15.7,0.94,1.45,"[0.0, 30.0]"
104,Djelfa,34.6667,3.2667,7.4,15.6,1.12,20.8,0.21,1.35,"[0.0, 30.0]"
107,Setif,36.1833,5.4167,7.3,18.0,1.8,23.0,0.35,1.42,"[0.0, 20.0]"
109,Constantine,36.3611,6.6139,7.8,4.3,2.15,13.4,0.45,1.35,"[0.0, 20.0]"
112,Constantine,36.3651,6.6128,7.8,22.6,1.45,23.4,0.26,1.35,"[0.0, 10.0]"
117,Batna,35.55,6.15,6.4,35.2,36.1,37.1,32.5,24.6,1.0
118,Sidi Bel Abbes,34.883333,0.5,7.7,25.6,1.41,14.6,0.45,1.45,"[0.0, 10.0]"
121,Alger,36.745278,3.357778,7.46,14.35,3.14,13.62,0.42,1.35,"[0.0, 20.0]"
122,Alger,36.7687,3.3538,7.6,12.4,2.4,14.6,0.4,1.4,"[0.0, 20.0]"
