,Region,City,pH,Calcaire Total,Matière Organique (MO),Capacité d'Échange Cationique (CEC),Conductivité Électrique (CE),Densité Apparente (Da)
0,Tizi Ouzou,Tizi Ouzou,7.0,18.75,3.75,17.1,225.15,1.35
1,Jijel,Jijel,,,70.2,,,
2,Algiers,Staoueli,8.59,14.4,,0.195,,
3,Algiers,Algiers,7.5,20.0,9.1,22.5,20.25,1.55
4,Mostaganem,Mostaganem,5.955,6.25,1.705,[],510.0,1.65
5,Blida,Blida,7.8,24.5,3.2,15.6,350.0,1.4
6,Blida,Boufarik,7.3,20.4,2.2,18.6,1.2,1.4
7,El Oued,El Oued,8.5,30.0,0.5,20.0,4.0,1.5
8,Tlemcen,Mnghnia,6.2,13.6,7.49,36.5,6.2,38.0
9,Tlemcen,Tlemcen,7.3,11.0,"['very low', 2.5]",15.0,1.4,1.3
10,Ouargla,Ouargla,7.2,23.4,2.1,15.6,0.81,1.4
11,Skikda,Skikda,7.45,15.6,3.45,14.2,0.45,1.45
12,Oran,Es Senia,8.76,22.78,25.49,,23.62,19.88
13,Oran,Oran,7.5,23.1,2.3,15.6,0.35,1.5
14,Tipaza,Commune des Eucalyptus,7.8,15.4,2.1,20.5,0.45,1.35
15,Mitidja,Mitidja,7.5,30.0,2.0,20.0,0.5,1.2
16,Ghardaea,Ghardaïa,8.4,34.6,1.42,24.8,1.25,1.48
17,Sidi Bel Abbes,Sidi Bel Abbes,,[],,{'CV': 26},,
18,Biskra,Tolga,7.8,35.6,2.5,23.1,0.8,1.6
19,Biskra,El Hadjeb,7.5,29.4,2.2,21.5,0.7,1.5
20,Biskra,Zeribet El Oued,7.9,31.8,2.8,24.5,0.9,1.7
21,Biskra,El Outaya,7.4,26.9,2.1,20.8,0.6,1.4
22,Biskra,M'ziraa,7.7,33.2,2.6,22.9,0.8,1.6
23,Biskra,Doucen,7.6,30.5,2.4,22.2,0.7,1.5
24,Khenchla,Remila,7.5,150.0,2.5,20.0,0.5,1.2
25,Khenchla,Kais,7.8,180.0,2.8,22.0,0.6,1.3
26,Khenchla,Khenchela,7.9,25.6,2.14,16.4,0.23,1.59
27,Oum Bouaghi,Berriche,7.2,120.0,2.2,18.0,0.4,1.1
28,Saida,Ain Skhouna,7.6,160.0,2.6,21.0,0.7,1.4
29,Timgad,Timgad,7.4,140.0,2.4,20.0,0.5,1.2
30,Hamla,Hamla,7.1,110.0,2.1,16.0,0.3,1.0
31,Constantine,Constantine,7.2,20.0,3.5,15.0,0.2,1.5
32,Setif,Mezloug,8.5,35.0,1.0,7.0,2.0,Not provided
33,Setif,Setif,8.2,25.0,2.5,20.0,250.0,1.5
34,Guelma,Guelma,8.34,41.87,1.45,15.67,1.23,1.35
35,Boumerdes,Boumerdes,8.23,21.6,2.14,14.8,0.55,1.34
36,Relizane,Relizane,8.5,467.31,19.75,2826.0,451.58000000000004,114.0
37,Bousaada,Boussaada,7.5,20.0,5.0,15.0,200.0,1.5
38,Tiaret,Tiaret,7.5,35.0,2.5,20.0,2.5,1.5
39,Medea,Medea,8.5,25.0,3.5,20.0,0.5,1.2
40,Chlef,Chlef,7.359999999999999,15.825,,,,
41,Souk-Ahras,Souk-Ahras,7.5,250.0,2.5,15.0,0.5,1.6
42,Rouiba,Rouiba,7.5,20.3,4.2,15.6,0.8,1.3
43,Bechar,Bechar,7.8,23.1,2.5,15.6,0.38,1.45
44,Annaba,Annaba,7.3,23.5,,,,
45,EL Kala,El-Kala,,12.4,,,,
46,EL Tarf,Lac Noir,6.4,10.0,32.4,0.1,0.1,1.8
47,Ghardaia,Ghardaia,7.5,20.0,3.2,15.6,0.5,1.4
48,Djelfa,El-Mesrane,7.46,29.88,,17.14,0.25,1.53
49,Djelfa,Zaafrane,7.31,29.41,,16.15,0.23,1.52
50,Djelfa,Draa Youcef,7.18,28.25,,15.6,0.21,1.49
51,Djelfa,Bir El Arbi,7.04,26.65,,14.35,0.19,1.45
52,Bejaia,Bejaia,,17.45,,,,1.43
53,Ain Tmouchent,Ain Tmouchent,7.64,,,,,
54,Msila,Msila,8.3,4.82,1.42,14.3,4.1,1.65
55,Batna,Batna,7.5,23.0,3.2,15.0,1.2,1.4
56,Mascara,Mascara,7.2,,,,,
