,id,id_memoire,id_ech,Wilaya,Region,X,Y,Longitude,latitude,altitude,UD,LD,average profondeur,USDA Soil Taxonomy,pH,CE,CEC,A%,L%,S%,ALR(L),ALR(S),OM
0,1,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,15,30,22.5,,7.87,0.17,17.929,45.359,44.81,8.07,-0.005288623,-0.749790032,2.019
1,2,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,30,60,45.0,,7.774,0.17,17.207,48.412,44.718,26.816,-0.034470743,-0.256559117,1.503
2,3,1,1,Alger,El-Harrach,3 107,36 684,3.107,36.684,22.0,60,100,80.0,,7.799,0.17,15.049,51.83,44.212,8.436,-0.069041131,-0.788444722,0.706
3,4,2,2,Alger,El-Harrach,313 333,360 716 666,3.1333333333333333,36.71666666666667,24.0,15,30,22.5,CL,7.95,0.26,,31.849,39.858,26.804,0.097419566,-0.074896328,2.645
4,5,2,2,Alger,El-Harrach,313 333,360 716 666,3.1333333333333333,36.71666666666667,24.0,30,60,45.0,CL,8.096,0.279,,32.238,37.326,25.538,0.063643226,-0.101181343,1.097
5,6,3,3,Alger,El-Harrach,"3,15",3 672 416 667,3.15,36.72416666666667,42.0,15,30,22.5,,8.5,,,13.0,32.0,55.0,0.391206292,0.626419003,7.27
6,7,3,3,Alger,El-Harrach,"3,15",3 672 416 667,3.15,36.72416666666667,42.0,30,60,45.0,,8.5,,,13.0,32.0,55.0,0.391206292,0.626419003,7.27
7,8,4,4,Alger,Staoueli,2 880 277 778,367 575,2.8802777777777777,36.7575,44.0,5,15,10.0,,8.59,0.37,,7.21,11.57,81.22,0.205397492,1.05172711808482,4.1
8,9,4,4,Alger,Staoueli,2 880 277 778,367 575,2.8802777777777777,36.7575,44.0,15,30,22.5,,8.59,0.37,,7.21,11.57,81.22,0.205397492,1.05172711808482,4.1
9,10,8,5,Alger,Oued Smar,3 178 361 111,3 670 408 333,3.1783611111111107,36.70408333333334,12.0,15,30,22.5,,7.83,,3.75,,,,,,1.36
10,11,8,5,Alger,Oued Smar,3 178 361 111,3 670 408 333,3.1783611111111107,36.70408333333334,12.0,30,60,45.0,,7.83,,3.75,,,,,,1.36
11,12,9,6,Alger,Oued Smar,315 955,3 670 531 667,3.15955,36.70531666666667,44.0,15,30,22.5,CL,7.2,0.8,18.57,39.5,18.5999999999999,41.9,-0.327084261,0.025616817,
12,13,9,6,Alger,Oued Smar,315 955,3 670 531 667,3.15955,36.70531666666667,44.0,30,60,45.0,CL,7.2,0.8,18.57,39.5,18.5999999999999,41.9,-0.327084261,0.025616817,
13,14,9,7,Alger,Oued Smar,315 955,3 670 531 667,3.15955,36.70531666666667,44.0,60,100,80.0,SCL,7.8,0.85,15.32,31.8,12.85,55.3499999999999,-0.393524129,0.240690369,
14,15,9,7,Alger,Oued Smar,315 955,3 670 531 667,3.15955,36.70531666666667,44.0,100,200,150.0,SCL,7.8,0.85,15.32,31.8,12.85,55.3499999999999,-0.393524129,0.240690369,
15,16,12,8,Alger,Baraki,3 101 388 889,3 668 388 889,3.101388888888889,36.68388888888889,17.0,15,30,22.5,,8.5,0.22,,56.0,37.43,6.57,-0.174968277,-0.930622735,3.03
16,17,12,8,Alger,Baraki,3 101 388 889,3 668 388 889,3.101388888888889,36.68388888888889,17.0,30,60,45.0,,8.5,0.22,,56.0,37.43,6.57,-0.174968277,-0.930622735,3.03
17,18,21,9,Biskra,Mziraa,6 273 938 889,3 472 694 444,6.273938888888889,34.72694444444445,31.0,0,5,2.5,,7.021,1.076,40.99,48.289,41.12,10.592,-0.069795196,-0.65887033,2.089
18,19,21,9,Biskra,Mziraa,6 273 938 889,3 472 694 444,6.273938888888889,34.72694444444445,31.0,5,15,10.0,,7.06,0.765,43.487,46.694,42.527,10.78,-0.040596425,-0.636642411,1.804
19,20,21,9,Biskra,Mziraa,6 273 938 889,3 472 694 444,6.273938888888889,34.72694444444445,31.0,15,30,22.5,,7.182,0.367,47.163,46.226,43.235,10.538,-0.029050946,-0.642128215,1.215
20,21,21,9,Biskra,Mziraa,6 273 938 889,3 472 694 444,6.273938888888889,34.72694444444445,31.0,30,60,45.0,,7.457,1.663,39.769,62.418,30.758,6.825,-0.307351826,-0.961207263,1.022
21,22,21,9,Biskra,Mziraa,6 273 938 889,3 472 694 444,6.273938888888889,34.72694444444445,31.0,60,100,80.0,,7.619,2.839,32.464,75.197,20.762,4.041,-0.558931386,-12.6971172197988,1.122
22,23,21,10,Biskra,Mzirra,6 306 361 111,3 471 834 444,6.306361111111111,34.71834444444445,31.0,0,5,2.5,,7.867,2.571,34.829,51.668,41.13,7.202,-0.099063025,-0.855768618,0.9
23,24,21,10,Biskra,Mzirra,6 306 361 111,3 471 834 444,6.306361111111111,34.71834444444445,31.0,5,15,10.0,,7.878,2.359,39.644,52.116,41.247,6.637,-0.101578792,-0.894999341,0.94
24,25,21,10,Biskra,Mzirra,6 306 361 111,3 471 834 444,6.306361111111111,34.71834444444445,31.0,15,30,22.5,,7.893,1.944,47.824,52.229,41.175,6.596,-0.103278186,-0.898631147,0.956
25,26,21,10,Biskra,Mzirra,6 306 361 111,3 471 834 444,6.306361111111111,34.71834444444445,31.0,30,60,45.0,,7.86,1.95,40.232,47.576,39.339,13.085,-0.082564701,-0.56061429,0.572
26,27,21,10,Biskra,Mzirra,6 306 361 111,3 471 834 444,6.306361111111111,34.71834444444445,31.0,60,100,80.0,,7.828,2.13,30.862,43.912,37.944,18.144,-0.063440205,-0.383850279,0.267
27,28,21,11,Ouled Djellal,Doucen,5 101 466 667,3 463 508 056,5.101466666666666,34.635080555555554,168.0,0,5,2.5,,6.935,4.337,16.629,,,54.931,,,1.456
28,29,21,11,Ouled Djellal,Doucen,5 101 466 667,3 463 508 056,5.101466666666666,34.635080555555554,168.0,5,15,10.0,,6.997,3.852,30.495,,,54.977,,,1.224
29,30,21,11,Ouled Djellal,Doucen,5 101 466 667,3 463 508 056,5.101466666666666,34.635080555555554,168.0,15,30,22.5,,7.123,2.848,54.36,,,55.557,,,0.785
30,31,21,11,Ouled Djellal,Doucen,5 101 466 667,3 463 508 056,5.101466666666666,34.635080555555554,168.0,30,60,45.0,,7.143,2.507,34.361,,,58.547,,,0.873
31,32,21,11,Ouled Djellal,Doucen,5 101 466 667,3 463 508 056,5.101466666666666,34.635080555555554,168.0,60,100,80.0,,7.105,2.668,8.696,,,60.625,,,1.128
32,33,21,12,Ouled Djellal,Doucen,5 137 791 667,3 463 802 222,5.137791666666667,34.63802222222222,168.0,0,5,2.5,,7.821,2.304,39.029,,,49.784,,,1.084
33,34,21,12,Ouled Djellal,Doucen,5 137 791 667,3 463 802 222,5.137791666666667,34.63802222222222,168.0,5,15,10.0,,7.652,2.328,33.111,,,54.552,,,0.861
34,35,21,12,Ouled Djellal,Doucen,5 137 791 667,3 463 802 222,5.137791666666667,34.63802222222222,168.0,15,30,22.5,,7.304,2.377,20.901,,,63.456,,,0.408
35,36,21,12,Ouled Djellal,Doucen,5 137 791 667,3 463 802 222,5.137791666666667,34.63802222222222,168.0,30,60,45.0,,7.207,2.387,17.1,,,60.836,,,0.311
