id,id_memoire,id_ech,Wilaya,Region,X,Y,Longitude,latitude,altitude,UD,LD,average profondeur,USDA Soil Taxonomy,pH,CE,CEC,A%,L%,S%,ALR(L),ALR(S),OM,AREA,PERIMETER,GEO2_7G_,GEO2_7G_ID,GLG,SNUM,FAOSOIL,DOMSOI,PHASE1,SQKM,SRTMGL1_band1,landcover,Band3,Band4,Band5,Band7,NDVI,wc2_1_30s_wind_12_Band_1,wc2_1_30s_wind_11_Band_1,wc2_1_30s_wind_10_Band_1,wc2_1_30s_wind_09_Band_1,wc2_1_30s_wind_08_Band_1,wc2_1_30s_wind_07_Band_1,wc2_1_30s_wind_06_Band_1,wc2_1_30s_wind_05_Band_1,wc2_1_30s_wind_04_Band_1,wc2_1_30s_wind_03_Band_1,wc2_1_30s_wind_02_Band_1,wc2_1_30s_wind_01_Band_1,wc2_1_30s_vapr_12_Band_1,wc2_1_30s_vapr_11_Band_1,wc2_1_30s_vapr_10_Band_1,wc2_1_30s_vapr_09_Band_1,wc2_1_30s_vapr_08_Band_1,wc2_1_30s_vapr_07_Band_1,wc2_1_30s_vapr_06_Band_1,wc2_1_30s_vapr_05_Band_1,wc2_1_30s_vapr_04_Band_1,wc2_1_30s_vapr_03_Band_1,wc2_1_30s_vapr_02_Band_1,wc2_1_30s_vapr_01_Band_1,wc2_1_30s_tmin_12_Band_1,wc2_1_30s_tmin_11_Band_1,wc2_1_30s_tmin_10_Band_1,wc2_1_30s_tmin_09_Band_1,wc2_1_30s_tmin_08_Band_1,wc2_1_30s_tmin_07_Band_1,wc2_1_30s_tmin_06_Band_1,wc2_1_30s_tmin_05_Band_1,wc2_1_30s_tmin_04_Band_1,wc2_1_30s_tmin_03_Band_1,wc2_1_30s_tmin_02_Band_1,wc2_1_30s_tmin_01_Band_1,wc2_1_30s_tmax_12_Band_1,wc2_1_30s_tmax_11_Band_1,wc2_1_30s_tmax_10_Band_1,wc2_1_30s_tmax_09_Band_1,wc2_1_30s_tmax_08_Band_1,wc2_1_30s_tmax_07_Band_1,wc2_1_30s_tmax_06_Band_1,wc2_1_30s_tmax_05_Band_1,wc2_1_30s_tmax_04_Band_1,wc2_1_30s_tmax_03_Band_1,wc2_1_30s_tmax_02_Band_1,wc2_1_30s_tmax_01_Band_1,wc2_1_30s_prec_12_Band_1,wc2_1_30s_prec_11_Band_1,wc2_1_30s_prec_10_Band_1,wc2_1_30s_prec_09_Band_1,wc2_1_30s_prec_08_Band_1,wc2_1_30s_prec_07_Band_1,wc2_1_30s_prec_06_Band_1,wc2_1_30s_prec_05_Band_1,wc2_1_30s_prec_04_Band_1,wc2_1_30s_prec_03_Band_1,wc2_1_30s_prec_02_Band_1,wc2_1_30s_prec_01_Band_1,wc2_1_30s_srad_12_Band_1,wc2_1_30s_srad_11_Band_1,wc2_1_30s_srad_10_Band_1,wc2_1_30s_srad_09_Band_1,wc2_1_30s_srad_08_Band_1,wc2_1_30s_srad_07_Band_1,wc2_1_30s_srad_06_Band_1,wc2_1_30s_srad_05_Band_1,wc2_1_30s_srad_04_Band_1,wc2_1_30s_srad_03_Band_1,wc2_1_30s_srad_02_Band_1,wc2_1_30s_srad_01_Band_1,wc2_1_30s_tavg_12_Band_1,wc2_1_30s_tavg_11_Band_1,wc2_1_30s_tavg_10_Band_1,wc2_1_30s_tavg_09_Band_1,wc2_1_30s_tavg_08_Band_1,wc2_1_30s_tavg_07_Band_1,wc2_1_30s_tavg_06_Band_1,wc2_1_30s_tavg_05_Band_1,wc2_1_30s_tavg_04_Band_1,wc2_1_30s_tavg_03_Band_1,wc2_1_30s_tavg_02_Band_1,wc2_1_30s_tavg_01_Band_1
1,1,1,Alger,El-Harrach,3 107,36 684,3.107 Est,36.684Â° Nord ,22,15,30,"22,5",nan,"7,87","0,17",17 929,45 359,"44,81","8,07","-0,005288623","-0,749790032",2 019,"0,06871","1,90991",162,86,Qe,1078,Bc6-2ab,Bc,,5251,16,7,9188,8712,10405,8554,"0,08855992",3 299 999 952,3,2 799 999 952,2 900 000 095,3 099 999 905,3 299 999 952,"3,5",3 200 000 048,3 599 999 905,3 400 000 095,3 200 000 048,3 299 999 952,1 100 000 024,1 289 999 962,1 629 999 995,1 980 000 019,2 170 000 076,2 079 999 924,1 809 999 943,1 549 999 952,124 000 001,1 120 000 005,1 059 999 943,1 019 999 981,7 599 999 905,1 019 999 981,1 430 000 019,1 810 000 038,2 020 000 076,1 920 000 076,1 639 999 962,1 280 000 019,"9,5",7 699 999 809,6 699 999 809,6 400 000 095,1 779 999 924,2 079 999 924,2 529 999 924,"29,5",32,3 089 999 962,2 779 999 924,2 420 000 076,2 110 000 038,1 910 000 038,"17,5",1 679 999 924,95,88,65,36,4,3,16,45,60,71,81,85,7747,9529,13204,18571,23314,25758,24715,23601,19387,15431,11514,8402,1 269 999 981,"15,5",1 979 999 924,2 379 999 924,2 610 000 038,25,2 210 000 038,"18,5",1 530 000 019,1 339 999 962,1 210 000 038,1 160 000 038
2,1,1,Alger,El-Harrach,3 107,36 684,3.107 Est,36.684Â° Nord ,22,30,60,45,nan,7 774,"0,17",17 207,48 412,44 718,26 816,"-0,034470743","-0,256559117",1 503,"0,06871","1,90991",162,86,Qe,1078,Bc6-2ab,Bc,,5251,16,7,9188,8712,10405,8554,"0,08855992",3 299 999 952,3,2 799 999 952,2 900 000 095,3 099 999 905,3 299 999 952,"3,5",3 200 000 048,3 599 999 905,3 400 000 095,3 200 000 048,3 299 999 952,1 100 000 024,1 289 999 962,1 629 999 995,1 980 000 019,2 170 000 076,2 079 999 924,1 809 999 943,1 549 999 952,124 000 001,1 120 000 005,1 059 999 943,1 019 999 981,7 599 999 905,1 019 999 981,1 430 000 019,1 810 000 038,2 020 000 076,1 920 000 076,1 639 999 962,1 280 000 019,"9,5",7 699 999 809,6 699 999 809,6 400 000 095,1 779 999 924,2 079 999 924,2 529 999 924,"29,5",32,3 089 999 962,2 779 999 924,2 420 000 076,2 110 000 038,1 910 000 038,"17,5",1 679 999 924,95,88,65,36,4,3,16,45,60,71,81,85,7747,9529,13204,18571,23314,25758,24715,23601,19387,15431,11514,8402,1 269 999 981,"15,5",1 979 999 924,2 379 999 924,2 610 000 038,25,2 210 000 038,"18,5",1 530 000 019,1 339 999 962,1 210 000 038,1 160 000 038
3,1,1,Alger,El-Harrach,3 107,36 684,3.107 Est,36.684Â° Nord ,22,60,100,80,nan,7 799,"0,17",15 049,"51,83",44 212,8 436,"-0,069041131","-0,788444722","0,706","0,06871","1,90991",162,86,Qe,1078,Bc6-2ab,Bc,,5251,16,7,9188,8712,10405,8554,"0,08855992",3 299 999 952,3,2 799 999 952,2 900 000 095,3 099 999 905,3 299 999 952,"3,5",3 200 000 048,3 599 999 905,3 400 000 095,3 200 000 048,3 299 999 952,1 100 000 024,1 289 999 962,1 629 999 995,1 980 000 019,2 170 000 076,2 079 999 924,1 809 999 943,1 549 999 952,124 000 001,1 120 000 005,1 059 999 943,1 019 999 981,7 599 999 905,1 019 999 981,1 430 000 019,1 810 000 038,2 020 000 076,1 920 000 076,1 639 999 962,1 280 000 019,"9,5",7 699 999 809,6 699 999 809,6 400 000 095,1 779 999 924,2 079 999 924,2 529 999 924,"29,5",32,3 089 999 962,2 779 999 924,2 420 000 076,2 110 000 038,1 910 000 038,"17,5",1 679 999 924,95,88,65,36,4,3,16,45,60,71,81,85,7747,9529,13204,18571,23314,25758,24715,23601,19387,15431,11514,8402,1 269 999 981,"15,5",1 979 999 924,2 379 999 924,2 610 000 038,25,2 210 000 038,"18,5",1 530 000 019,1 339 999 962,1 210 000 038,1 160 000 038
4,2,2,Alger,El-Harrach,313 333,360 716 666,3Â°E08â€™,36Â°N43,24,15,30,"22,5",CL,"7,95","0,26",nan,31 849,39 858,26 804,"0,097419566","-0,074896328",2 645,"0,13065","3,15305",385,318,K,1238,I-Bk-bc,I,,4971,897,11,10888,12220,15836,16719,"0,128885087",3,3,2 599 999 905,2 599 999 905,2 700 000 048,2 900 000 095,3 200 000 048,3 099 999 905,3 700 000 048,3 200 000 048,3,2 799 999 952,"0,790000022","0,910000026",1 120 000 005,1 309 999 943,1 350 000 024,1 279 999 971,1 200 000 048,1 039 999 962,"0,870000005","0,779999971","0,730000019","0,720000029",3,6 199 999 809,1 089 999 962,1 519 999 981,1 829 999 924,1 810 000 038,1 419 999 981,"10,5",7 199 999 809,4 699 999 809,2 700 000 048,1 799 999 952,1 010 000 038,1 410 000 038,2 039 999 962,2 620 000 076,3 060 000 038,3 079 999 924,2 620 000 076,2 120 000 076,17,14,11,9 399 999 619,74,66,37,26,6,3,22,43,39,53,56,81,8151,9939,13803,19266,23574,26101,25207,23902,19893,16232,12330,8893,6 599 999 905,1 019 999 981,1 560 000 038,2 070 000 076,"24,5",2 439 999 962,2 020 000 076,1 589 999 962,1 210 000 038,9 399 999 619,6 900 000 095,5 599 999 905
5,2,2,Alger,El-Harrach,313 333,360 716 666,3Â°E08â€™,36Â°N43,24,30,60,45,CL,8 096,"0,279",nan,32 238,37 326,25 538,"0,063643226","-0,101181343",1 097,"0,13065","3,15305",385,318,K,1238,I-Bk-bc,I,,4971,897,11,10888,12220,15836,16719,"0,128885087",3,3,2 599 999 905,2 599 999 905,2 700 000 048,2 900 000 095,3 200 000 048,3 099 999 905,3 700 000 048,3 200 000 048,3,2 799 999 952,"0,790000022","0,910000026",1 120 000 005,1 309 999 943,1 350 000 024,1 279 999 971,1 200 000 048,1 039 999 962,"0,870000005","0,779999971","0,730000019","0,720000029",3,6 199 999 809,1 089 999 962,1 519 999 981,1 829 999 924,1 810 000 038,1 419 999 981,"10,5",7 199 999 809,4 699 999 809,2 700 000 048,1 799 999 952,1 010 000 038,1 410 000 038,2 039 999 962,2 620 000 076,3 060 000 038,3 079 999 924,2 620 000 076,2 120 000 076,17,14,11,9 399 999 619,74,66,37,26,6,3,22,43,39,53,56,81,8151,9939,13803,19266,23574,26101,25207,23902,19893,16232,12330,8893,6 599 999 905,1 019 999 981,1 560 000 038,2 070 000 076,"24,5",2 439 999 962,2 020 000 076,1 589 999 962,1 210 000 038,9 399 999 619,6 900 000 095,5 599 999 905
6,3,3,Alger,El-Harrach,"3,15",3 672 416 667,"3Â°09'00""E","36Â°43'27""N",42,15,30,"22,5",nan,"8,5",nan,nan,13,32,55,"0,391206292","0,626419003","7,27","0,06871","1,90991",162,86,Qe,1345,Jc16-2/3a,Jc,,1406,33,7,32197,34438,39343,30777,"0,06648053","3,5",3 299 999 952,3 099 999 905,2 900 000 095,3 200 000 048,3 400 000 095,3 599 999 905,3 299 999 952,3 700 000 048,"3,5",3 400 000 095,3 599 999 905,1 100 000 024,1 289 999 962,1 629 999 995,199 000 001,2 180 000 067,2 079 999 924,1 799 999 952,1 549 999 952,124 000 001,1 120 000 005,1 049 999 952,1 029 999 971,7 699 999 809,1 019 999 981,1 430 000 019,1 810 000 038,2 020 000 076,1 910 000 038,1 639 999 962,1 280 000 019,"9,5",7 699 999 809,6 800 000 191,"6,5",1 770 000 076,2 060 000 038,25,2 910 000 038,"31,5",3 039 999 962,2 739 999 962,2 389 999 962,2 089 999 962,1 889 999 962,1 729 999 924,1 679 999 924,96,88,66,36,5,3,16,45,61,72,83,85,7640,9498,13211,18634,23499,25830,24589,23590,19338,15404,11422,8315,1 269 999 981,1 539 999 962,1 970 000 076,2 360 000 038,2 589 999 962,2 479 999 924,2 189 999 962,1 829 999 924,1 519 999 981,1 330 000 019,1 210 000 038,1 160 000 038
7,3,3,Alger,El-Harrach,"3,15",3 672 416 667,"3Â°09'00""E","36Â°43'27""N",42,30,60,45,nan,"8,5",nan,nan,13,32,55,"0,391206292","0,626419003","7,27","0,06871","1,90991",162,86,Qe,1345,Jc16-2/3a,Jc,,1406,33,7,32197,34438,39343,30777,"0,06648053","3,5",3 299 999 952,3 099 999 905,2 900 000 095,3 200 000 048,3 400 000 095,3 599 999 905,3 299 999 952,3 700 000 048,"3,5",3 400 000 095,3 599 999 905,1 100 000 024,1 289 999 962,1 629 999 995,199 000 001,2 180 000 067,2 079 999 924,1 799 999 952,1 549 999 952,124 000 001,1 120 000 005,1 049 999 952,1 029 999 971,7 699 999 809,1 019 999 981,1 430 000 019,1 810 000 038,2 020 000 076,1 910 000 038,1 639 999 962,1 280 000 019,"9,5",7 699 999 809,6 800 000 191,"6,5",1 770 000 076,2 060 000 038,25,2 910 000 038,"31,5",3 039 999 962,2 739 999 962,2 389 999 962,2 089 999 962,1 889 999 962,1 729 999 924,1 679 999 924,96,88,66,36,5,3,16,45,61,72,83,85,7640,9498,13211,18634,23499,25830,24589,23590,19338,15404,11422,8315,1 269 999 981,1 539 999 962,1 970 000 076,2 360 000 038,2 589 999 962,2 479 999 924,2 189 999 962,1 829 999 924,1 519 999 981,1 330 000 019,1 210 000 038,1 160 000 038
8,4,4,Alger,Staoueli,2 880 277 778,367 575," 2Â°52'49""E","36Â°45'27""N",44,5,15,10,nan,"8,59","0,37",nan,"7,21","11,57","81,22","0,205397492",1 051 727 118 084 820,"4,1","0,00747","0,41303",143,70,pCm,1078,Bc6-2ab,Bc,,5251,30,7,11986,11560,18644,10235,"0,234538472",3 599 999 905,3 400 000 095,3 200 000 048,3 200 000 048,3 400 000 095,3 599 999 905,3 799 999 952,3 400 000 095,4 199 999 809,3 799 999 952,3 700 000 048,3 599 999 905,1 100 000 024,1 279 999 971,1 629 999 995,199 000 001,2 180 000 067,2 059 999 943,1 820 000 052,1 539 999 962,124 000 001,1 120 000 005,1 059 999 943,1 039 999 962,8,"10,5",1 460 000 038,1 810 000 038,2 020 000 076,1 929 999 924,1 660 000 038,1 310 000 038,9 699 999 809,8,7,6 800 000 191,1 760 000 038,2 039 999 962,"24,5","28,5",3 120 000 076,3 029 999 924,2 710 000 038,2 360 000 038,2 039 999 962,"18,5",1 710 000 038,1 660 000 038,104,104,67,35,3,2,13,47,51,66,75,93,7649,9579,13294,18741,23781,26078,25091,23683,19489,15509,11554,8354,1 280 000 019,"15,5","19,5",2 329 999 924,2 570 000 076,2 479 999 924,2 189 999 962,1 829 999 924,1 510 000 038,1 330 000 019,12,1 169 999 981
9,4,4,Alger,Staoueli,2 880 277 778,367 575," 2Â°52'49""E","36Â°45'27""N",44,15,30,"22,5",nan,"8,59","0,37",nan,"7,21","11,57","81,22","0,205397492",1 051 727 118 084 820,"4,1","0,00747","0,41303",143,70,pCm,1078,Bc6-2ab,Bc,,5251,30,7,11986,11560,18644,10235,"0,234538472",3 599 999 905,3 400 000 095,3 200 000 048,3 200 000 048,3 400 000 095,3 599 999 905,3 799 999 952,3 400 000 095,4 199 999 809,3 799 999 952,3 700 000 048,3 599 999 905,1 100 000 024,1 279 999 971,1 629 999 995,199 000 001,2 180 000 067,2 059 999 943,1 820 000 052,1 539 999 962,124 000 001,1 120 000 005,1 059 999 943,1 039 999 962,8,"10,5",1 460 000 038,1 810 000 038,2 020 000 076,1 929 999 924,1 660 000 038,1 310 000 038,9 699 999 809,8,7,6 800 000 191,1 760 000 038,2 039 999 962,"24,5","28,5",3 120 000 076,3 029 999 924,2 710 000 038,2 360 000 038,2 039 999 962,"18,5",1 710 000 038,1 660 000 038,104,104,67,35,3,2,13,47,51,66,75,93,7649,9579,13294,18741,23781,26078,25091,23683,19489,15509,11554,8354,1 280 000 019,"15,5","19,5",2 329 999 924,2 570 000 076,2 479 999 924,2 189 999 962,1 829 999 924,1 510 000 038,1 330 000 019,12,1 169 999 981
10,8,5,Alger,Oued Smar,3 178 361 111,3 670 408 333,"3Â°10'42.1""E","36Â°42'14.7""N",12,15,30,"22,5",nan,"7,83",nan,"3,75",nan,nan,nan,nan,nan,"1,36","0,06871","1,90991",162,86,Qe,1345,Jc16-2/3a,Jc,,1406,16,7,16993,17767,23432,18425,"0,137503338",3 400 000 095,3 099 999 905,2 700 000 048,3,3 400 000 095,"3,5",3 599 999 905,3 299 999 952,3 299 999 952,3 099 999 905,3 400 000 095,3 400 000 095,1 110 000 014,1 299 999 952,1 639 999 986,199 000 001,2 160 000 086,2 059 999 943,1 809 999 943,1 549 999 952,1 269 999 981,1 129 999 995,1 059 999 943,1 039 999 962,7 400 000 095,10,1 419 999 981,18,2 010 000 038,19,1 629 999 924,1 260 000 038,9 300 000 191,7 599 999 905,"6,5",6 199 999 809,1 770 000 076,2 070 000 076,2 520 000 076,2 929 999 924,3 179 999 924,3 070 000 076,"27,5",24,2 089 999 962,1 889 999 962,1 739 999 962,1 679 999 924,93,84,64,35,6,4,16,44,61,70,80,81,7597,9510,13118,18551,23100,25439,24513,23546,19251,15280,11371,8341,1 260 000 038,1 539 999 962,1 970 000 076,2 360 000 038,2 589 999 962,2 479 999 924,2 189 999 962,1 829 999 924,1 510 000 038,1 319 999 981,12,"11,5"
